Date,Open,High,Low,Close,Adj Close,Volume
2022-08-01,68.940002,69.849998,67.930000,68.080002,63.119545,38874000
2022-08-02,68.330002,70.470001,66.980003,70.250000,65.131432,32636900
2022-08-03,70.059998,70.150002,67.519997,67.519997,62.600346,31934600
2022-08-04,67.669998,68.050003,66.820000,67.129997,62.238754,40540800
2022-08-05,67.889999,68.750000,67.500000,68.000000,63.045372,36129300
2022-08-08,68.830002,69.139999,67.760002,68.580002,63.583107,35705300
2022-08-09,68.589996,70.160004,68.150002,70.000000,64.899651,35174600
2022-08-10,70.730003,70.809998,69.120003,70.050003,64.946007,30202200
2022-08-11,70.800003,73.650002,70.550003,72.489998,67.208221,51158600
2022-08-12,68.779999,69.800003,68.300003,69.800003,68.068398,35608400
2022-08-15,68.000000,68.550003,67.040001,68.300003,66.605606,26735800
2022-08-16,69.500000,70.349998,69.110001,69.820000,68.087898,22070200
2022-08-17,68.320000,68.800003,67.889999,68.230003,66.537346,29131700
2022-08-18,68.300003,68.610001,67.709999,67.720001,66.040001,27692000
2022-08-19,67.000000,67.440002,66.480003,66.959999,65.298843,45903800
2022-08-22,66.800003,66.910004,65.830002,65.980003,64.343170,19335700
2022-08-23,66.779999,70.300003,66.650002,70.209999,68.468216,37223500
2022-08-24,69.779999,70.250000,67.809998,67.949997,66.264290,28773800
2022-08-25,68.900002,69.430000,68.250000,69.269997,67.551537,24956700
2022-08-26,69.650002,71.199997,68.230003,68.230003,66.537346,28510100
2022-08-29,67.500000,67.900002,66.849998,66.910004,65.250092,22128100
2022-08-30,65.940002,66.580002,64.400002,64.970001,63.358219,34469300
2022-08-31,65.419998,65.680000,64.500000,64.500000,62.899876,33242900
2022-09-01,63.980000,63.980000,61.900002,63.889999,62.305012,40922200
2022-09-02,64.489998,64.820000,62.919998,62.919998,61.359074,49910300
2022-09-05,64.449997,66.480003,64.230003,65.220001,63.602013,24319700
2022-09-06,64.669998,65.550003,63.590000,63.669998,62.090466,24525000
2022-09-08,64.169998,64.699997,63.560001,64.510002,62.909630,24144700
2022-09-09,66.550003,69.639999,66.239998,69.550003,67.824600,49273400
2022-09-12,70.089996,70.599998,69.260002,70.160004,68.419464,24797600
2022-09-13,69.320000,71.000000,68.089996,68.250000,66.556847,29457800
2022-09-14,67.750000,68.980003,66.470001,67.000000,65.337860,31018300
2022-09-15,67.800003,68.629997,67.180000,68.349998,66.654366,36958800
2022-09-16,67.279999,68.849998,66.589996,68.250000,66.556847,65178000
2022-09-19,67.430000,70.559998,67.330002,70.459999,68.712021,34136800
2022-09-20,69.800003,70.099998,68.400002,69.449997,67.727074,35289700
2022-09-21,69.449997,69.989998,68.410004,68.449997,66.751884,44482000
2022-09-22,70.169998,70.699997,69.279999,70.019997,68.282928,34529500
2022-09-23,68.709999,69.050003,67.830002,68.570000,66.868912,44160700
2022-09-26,67.699997,69.419998,67.639999,68.720001,67.015190,18503200
2022-09-27,67.639999,68.230003,67.190002,67.699997,66.020485,31646600
2022-09-28,67.709999,68.839996,67.440002,68.339996,66.644608,24371000
2022-09-29,67.930000,68.779999,67.349998,68.430000,66.732384,34889700
2022-09-30,68.489998,72.900002,68.260002,72.040001,70.252823,55575000
2022-10-03,73.239998,74.169998,71.129997,74.000000,72.164200,42688100
2022-10-04,74.199997,76.250000,74.059998,75.790001,73.909798,41717500
2022-10-05,76.290001,77.860001,76.120003,76.959999,75.050766,42621400
2022-10-06,77.199997,77.570000,74.919998,75.230003,73.363693,76852200
2022-10-07,75.360001,79.440002,75.160004,75.510002,73.636742,83593200
2022-10-10,76.410004,77.019997,73.480003,73.989998,72.154449,45515900
2022-10-11,73.199997,74.180000,72.029999,73.489998,71.666847,33885800
2022-10-13,72.250000,72.800003,71.050003,72.180000,70.389351,32960000
2022-10-14,72.610001,73.360001,69.599998,69.830002,68.097656,34091700
2022-10-17,70.209999,71.239998,69.260002,70.930000,69.170357,25840500
2022-10-18,72.300003,72.830002,70.739998,71.959999,70.174805,27494000
2022-10-19,71.629997,72.129997,70.580002,71.110001,69.345894,22651000
2022-10-20,70.980003,73.190002,70.320000,72.019997,70.233315,37240700
2022-10-21,71.800003,74.680000,71.440002,74.129997,72.290970,36846800
2022-10-24,73.269997,73.949997,71.180000,71.930000,70.145554,32035800
2022-10-25,71.610001,73.269997,70.919998,71.930000,70.145554,28158100
2022-10-26,71.279999,74.849998,71.120003,73.529999,71.705856,40845700
2022-10-27,72.000000,72.120003,69.430000,70.910004,69.150864,52613000
2022-10-28,68.589996,69.050003,66.650002,67.449997,65.776688,52793500
2022-10-31,66.000000,69.400002,65.519997,67.129997,65.464622,39184100
2022-11-01,69.449997,70.800003,68.949997,69.169998,67.454025,42670000
2022-11-03,67.639999,67.940002,66.580002,67.150002,65.484138,34390300
2022-11-04,71.150002,73.389999,70.800003,72.250000,70.457611,61191100
2022-11-07,72.000000,73.029999,71.440002,71.870003,70.087044,29445500
2022-11-08,71.650002,74.930000,71.650002,74.050003,72.212959,39756500
2022-11-09,74.099998,74.779999,72.519997,73.150002,71.335281,42208500
2022-11-10,71.500000,75.470001,71.379997,74.550003,72.700554,47658100
2022-11-11,77.989998,82.989998,77.209999,82.300003,80.258293,80174100
2022-11-14,82.389999,84.440002,81.379997,83.309998,81.243233,43822500
2022-11-16,83.320000,84.769997,81.540001,82.440002,80.394821,32935300
2022-11-17,80.870003,83.290001,80.739998,83.099998,81.038445,31790500
2022-11-18,84.349998,84.489998,80.699997,80.830002,78.824760,44324400
2022-11-21,79.099998,80.190002,78.279999,79.919998,77.937332,27745900
2022-11-22,79.949997,81.459999,79.389999,80.139999,78.151878,27105100
2022-11-23,80.930000,81.360001,79.940002,80.930000,78.922279,22415800
2022-11-24,81.510002,82.389999,80.610001,81.449997,79.429382,12420900
2022-11-25,82.000000,82.879997,80.680000,80.900002,78.893028,20477000
2022-11-28,80.599998,82.339996,79.519997,81.300003,79.283104,16166300
2022-11-29,82.849998,85.680000,82.620003,84.440002,82.345207,42574300
2022-11-30,85.000000,86.620003,84.760002,85.709999,83.583694,59932800
2022-12-01,86.419998,86.750000,84.730003,86.180000,84.042038,34319300
2022-12-02,86.760002,87.739998,84.970001,86.800003,84.646660,30213600
2022-12-05,87.900002,88.989998,86.680000,86.709999,84.558884,21896500
2022-12-06,86.989998,88.930000,86.879997,87.970001,85.787628,21335700
2022-12-07,85.910004,86.419998,83.860001,84.839996,82.735275,45441000
2022-12-08,85.500000,87.250000,85.349998,85.879997,83.749474,29827900
2022-12-09,88.059998,89.540001,87.529999,88.739998,86.538521,37713000
2022-12-12,88.150002,88.300003,85.379997,86.089996,83.954262,34995000
2022-12-13,86.250000,87.400002,85.629997,86.160004,84.308502,31559400
2022-12-14,85.750000,87.330002,85.500000,86.889999,85.022812,34564000
2022-12-15,87.389999,88.169998,86.889999,87.169998,85.296791,24782100
2022-12-16,87.000000,87.320000,84.510002,85.680000,83.838814,37762100
2022-12-19,85.000000,85.580002,84.239998,85.370003,83.535477,27508500
2022-12-20,85.370003,87.250000,85.309998,85.750000,83.907310,22657300
2022-12-21,86.900002,87.400002,85.820000,86.239998,84.386780,39183700
2022-12-22,86.279999,86.650002,84.690002,85.750000,83.907310,19429200
2022-12-23,85.279999,86.519997,85.080002,86.320000,84.465065,18656500
2022-12-26,86.419998,87.540001,86.330002,87.110001,85.238083,18407500
2022-12-27,88.000000,89.650002,87.470001,89.190002,87.273392,26720300
2022-12-28,89.190002,90.209999,88.699997,88.989998,87.077682,23314500
2022-12-29,89.000000,89.949997,88.830002,88.879997,86.970047,40110800
